MONTH,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,HIT_RUN_FLAG,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,DRIVER,MOTORIST,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,STAT_DIV_NAME,MONTH,MONTH_COUNT,MONTH_ALC,MONTH_NALC,DAY,DAY_COUNT
2019/01,2019/01/01 00:00:00+00,No,Fall from or in moving vehicle,Monday,No,Day,Other injury accident,Camping grounds or off road,No,143.7834412,-37.7571871,Off Road,GOLDEN PLAINS,SOUTH WESTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,No collision and no object struck,Tuesday,No,Day,Other injury accident,50 km/hr,No,143.3773644,-37.43405148,Non-Intersection,PYRENEES,WESTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,Yes,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark Street lights on,Serious injury accident,60 km/hr,Yes,144.3147833,-36.71119145,Non-Intersection,BENDIGO,NORTHERN REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,Yes,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Vehicle overturned (no collision),Tuesday,No,Day,Serious injury accident,100 km/hr,No,143.5119107,-35.90120088,Non-Intersection,GANNAWARRA,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Monday,No,Dark No street lights,Other injury accident,70 km/hr,Yes,145.4145772,-37.53510661,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,No,No collision and no object struck,Tuesday,No,Day,Serious injury accident,100 km/hr,Yes,144.0066383,-37.38510454,Non-Intersection,HEPBURN,WESTERN REGION,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Vehicle overturned (no collision),Monday,No,Day,Other injury accident,100 km/hr,Yes,142.5406624,-38.24043736,Non-Intersection,MOYNE,SOUTH WESTERN REGION,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with vehicle,Monday,No,Day,Other injury accident,60 km/hr,No,145.4161593,-37.2136381,Intersection,MURRINDINDI,NORTH EASTERN REGION,3,2,0,0,2,1,2,1,0,2,0,0,0,0,1,No,0,2,1,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with a fixed object,Tuesday,No,Day,Other injury accident,50 km/hr,No,144.9462013,-37.72918744,Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,No,Collision with a fixed object,Tuesday,No,Day,Serious injury accident,50 km/hr,Yes,146.4183372,-37.03993028,Non-Intersection,MANSFIELD,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
